Name;Style;Hop;grams / hectorliter
Punk IPA;IPA;Chinook;575
Punk IPA;IPA;Ahtanum;375
Punk IPA;IPA;Simcoe;250
Punk IPA;IPA;Nelson Sauvin;112,5
Punk IPA;IPA;Cascade;187,5
Punk IPA;IPA;Amarillo;50
Brooklyn Lager;Lager;Cascade;224
Brooklyn Lager;Lager;Vanguard;62,5
Brooklyn Lager;Lager;Hallertau Mittelfrüh;283,5
Brooklyn Lager;Lager;Saphir;71
Sierra Nevada Pale Ale;Pale Ale;Nugget;141,5
Sierra Nevada Pale Ale;Pale Ale;Perle;71
Sierra Nevada Pale Ale;Pale Ale;Cascade;141,5
Guiness;Stout;East Kent Goldings;340